designation,full_name,close_approach_date,distance_au,dist_km,dist_lunar,distance_min_au,distance_max_au,velocity_km_s,v_rel_kmh,velocity_infinity_km_s,absolute_magnitude,is_future
2022 AP1,       (2022 AP1),2015-01-01 00:27,0.0450996139560782,6746806.0,17.55,0.0137779854016002,0.0765710586740812,11.8917494753469,42810.0,11.8867802976262,28.39,False
2015 AE45,       (2015 AE45),2015-01-02 15:56,0.0482391514516035,7216474.0,18.77,0.0482203077090201,0.0482579951672678,7.06568581641433,25436.0,7.05786415843014,25.3,False
613286,613286 (2005 YQ96),2015-01-02 21:46,0.0265221949197811,3967664.0,10.32,0.026522163560175,0.0265222262795365,12.7033779366973,45732.0,12.6954671637348,20.63,False
2014 YQ34,       (2014 YQ34),2015-01-03 13:29,0.0796917885369401,11921722.0,31.01,0.0782752051211125,0.081108366787565,24.982094458131,89936.0,24.98075607156,24.16,False
2014 YE42,       (2014 YE42),2015-01-03 15:00,0.0109954490632396,1644896.0,4.28,0.0109713188943229,0.0110195789698246,13.99888197048,50396.0,13.9815608972678,23.4,False
2014 YB42,       (2014 YB42),2015-01-04 05:33,0.0425733497281817,6368882.0,16.57,0.0422221020596945,0.0429245896290241,9.65965158003196,34775.0,9.65317032972407,25.4,False
2014 YP34,       (2014 YP34),2015-01-04 10:03,0.0224931857973996,3364933.0,8.75,0.0224085534784053,0.0225778149155613,6.87719007453092,24758.0,6.85994380174234,26.1,False
2019 AY3,       (2019 AY3),2015-01-04 11:23,0.0447033053184674,6687519.0,17.4,0.0447031085611339,0.0447035020758186,19.7909882941301,71248.0,19.7879764098138,23.82,False
85990, 85990 (1999 JV6),2015-01-05 11:16,0.0833119597114768,12463292.0,32.42,0.0833119568116692,0.0833119626112891,7.69474297153329,27701.0,7.69058551010006,20.27,False
2015 DA363,       (2015 DA363),2015-01-06 08:45,0.0943261008045046,14110984.0,36.71,0.094231739674004,0.0944204618788456,13.585315541861,48907.0,13.5832361134025,23.32,False
2015 BE4,       (2015 BE4),2015-01-07 04:12,0.026540527447147,3970406.0,10.33,0.0265355539487562,0.0265455009458305,10.5097076462023,37835.0,10.5001509083227,23.7,False
2015 BD4,       (2015 BD4),2015-01-07 05:28,0.0331912789015713,4965345.0,12.92,0.0331648111185659,0.0332177466881936,10.0885851831253,36319.0,10.0806248823685,25.1,False
2010 AN61,       (2010 AN61),2015-01-08 10:32,0.0744076672936927,11131229.0,28.96,0.0645294992626552,0.0842852032582406,3.85873288689765,13891.0,3.84944165878676,27.0,False
2015 BU4,       (2015 BU4),2015-01-09 03:27,0.0496477143453854,7427192.0,19.32,0.0496275247465292,0.0496679039054653,6.91665180158992,24900.0,6.90888824025117,25.6,False
2014 YZ8,       (2014 YZ8),2015-01-09 07:09,0.0768340602285797,11494212.0,29.9,0.076667798337304,0.0770003217439175,11.5271239730849,41498.0,11.5241151663499,23.7,False
2025 KX2,       (2025 KX2),2015-01-11 04:18,0.0870233005744852,13018500.0,33.87,0.083428693319381,0.0909184427253406,1.44996770947421,5220.0,1.4286953350279,29.9,False
2014 XM7,       (2014 XM7),2015-01-11 17:44,0.0848608460793608,12695002.0,33.03,0.0848507307767894,0.0848709613806684,10.2730650832917,36983.0,10.2700082653183,22.91,False
2014 YT34,       (2014 YT34),2015-01-12 00:03,0.0365868126235126,5473309.0,14.24,0.036585980578406,0.0365876446743196,6.98177254147668,25134.0,6.97133383054725,24.7,False
2015 BY3,       (2015 BY3),2015-01-12 01:14,0.0036740891150215,549636.0,1.43,0.0036603252990008,0.0036878524572915,16.5137370318062,59449.0,16.4697630363349,27.5,False
2015 AF44,       (2015 AF44),2015-01-12 03:49,0.0118917876582433,1778986.0,4.63,0.0118630476224669,0.0119205272116072,11.4557333670192,41241.0,11.436157836827,25.4,False
2015 AE44,       (2015 AE44),2015-01-12 12:57,0.0448107181511589,6703588.0,17.44,0.0447976480139853,0.0448237882475443,4.67257850719564,16821.0,4.6598356609185,24.6,False
2018 AN2,       (2018 AN2),2015-01-12 23:28,0.0472020665908698,7061329.0,18.37,0.0368581663072816,0.0703889280893356,11.9639581760963,43070.0,11.9592390441679,24.8,False
2015 AO43,       (2015 AO43),2015-01-13 03:39,0.0109813141975323,1642781.0,4.27,0.0109663870724421,0.0109962411473579,10.4348680131708,37566.0,10.4115894714574,26.5,False
2014 YP44,       (2014 YP44),2015-01-13 09:20,0.0415018905404403,6208594.0,16.15,0.037524917797733,0.0454862604901021,3.15953741807557,11374.0,3.13915178078928,26.1,False
2015 AQ43,       (2015 AQ43),2015-01-14 13:20,0.0010532411713439,157563.0,0.41,0.0010511504459511,0.0010553316570019,12.5069726502484,45025.0,12.3030396325235,28.0,False
2015 AH44,       (2015 AH44),2015-01-14 23:28,0.0201110507711478,3008570.0,7.83,0.0200605924324729,0.0201615085323676,10.7737024568043,38785.0,10.7613980498332,24.4,False
2015 BK311,       (2015 BK311),2015-01-15 02:06,0.060535068826714,9055917.0,23.56,0.0604112897268642,0.0606588477138193,13.6376115942233,49095.0,13.63438370666,24.4,False
2015 BL311,       (2015 BL311),2015-01-15 02:59,0.0247302652470715,3699595.0,9.62,0.0247300097527247,0.024730520741892,28.5212391695637,102676.0,28.5174613261284,21.1,False
2015 BM4,       (2015 BM4),2015-01-15 03:42,0.0037031319903192,553981.0,1.44,0.0037002799613794,0.0037059839303631,8.35437798898584,30076.0,8.26780446104886,23.6,False
2014 YR15,       (2014 YR15),2015-01-15 08:36,0.0561046897985517,8393142.0,21.83,0.0561044637780151,0.0561049158190884,8.94487954923795,32202.0,8.93956865513635,21.39,False
2015 BG4,       (2015 BG4),2015-01-15 10:17,0.0614233895881147,9188808.0,23.9,0.0614232643216999,0.061423514854533,3.54492081096251,12762.0,3.53266269935509,26.4,False
2015 BZ3,       (2015 BZ3),2015-01-15 10:57,0.0034029401371869,509073.0,1.32,0.0033977228209227,0.0034081570561627,7.71486837800886,27774.0,7.61270040681277,27.6,False
2007 EC,       (2007 EC),2015-01-15 19:37,0.0274543622585119,4107114.0,10.68,0.0274543514808605,0.0274543730361632,6.59540180435819,23743.0,6.58067037025155,22.23,False
2025 PN7,       (2025 PN7),2015-01-16 02:34,0.0296331563031958,4433057.0,11.53,0.0296328575877217,0.0296334550188434,2.60753936091629,9387.0,2.57282540562421,26.41,False
2015 AN44,       (2015 AN44),2015-01-16 05:00,0.0451342833554635,6751993.0,17.56,0.0446939571618044,0.0455745958623319,8.60835991923032,30990.0,8.60149937637193,25.2,False
2014 YD,       (2014 YD),2015-01-16 05:32,0.0440716773864255,6593029.0,17.15,0.0440715937864779,0.0440717609863706,3.10102569915202,11164.0,3.08146793998162,24.29,False
